ndc11,hcpcs_code,hcpcs_description,drug_name,manufacturer,hcpcs_dosage,pkg_size,pkg_qty,bill_units_per_item,bill_units_per_pkg,has_multiple_hcpcs,all_hcpcs_codes
000000AMN22,Q4239,Amnio-maxx or lite per sq cm,Amino-Maxx,Royal Biologics,1 SQ CM,4.0,1,4.0,4.0,False,
000000AMN23,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,6.0,1,6.0,6.0,False,
000000AMN24,Q4239,Amnio-maxx or lite per sq cm,Amino-Maxx,Royal Biologics,1 SQ CM,8.0,1,8.0,8.0,False,
000000AMN44,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,16.0,1,16.0,16.0,False,
000000AMN46,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,24.0,1,24.0,24.0,False,
000000AMN48,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,32.0,1,32.0,32.0,False,
000000CAA22,Q4303,"Complete aa, per sq cm",Complete AA,"Samaritan Biologics, LLC",1 SQ CM,4.0,1,4.0,4.0,False,
000000CAA24,Q4303,"Complete aa, per sq cm",Complete AA,"Samaritan Biologics, LLC",1 SQ CM,8.0,1,8.0,8.0,False,
000000CAA44,Q4303,"Complete aa, per sq cm",Complete AA,"Samaritan Biologics, LLC",1 SQ CM,16.0,1,16.0,16.0,False,
000000CAA48,Q4303,"Complete aa, per sq cm",Complete AA,"Samaritan Biologics, LLC",1 SQ CM,32.0,1,32.0,32.0,False,
000000CSL22,Q4270,Complete sl per sq cm,Complete SL,"Samaritan Biologics, LLC",1 SQ CM,4.0,1,4.0,4.0,False,
000000CSL24,Q4270,Complete sl per sq cm,Complete SL,"Samaritan Biologics, LLC",1 SQ CM,8.0,1,8.0,8.0,False,
000000CSL44,Q4270,Complete sl per sq cm,Complete SL,"Samaritan Biologics, LLC",1 SQ CM,16.0,1,16.0,16.0,False,
000000CSL48,Q4270,Complete sl per sq cm,Complete SL,"Samaritan Biologics, LLC",1 SQ CM,32.0,1,32.0,32.0,False,
000000GG100,Q4111,Gammagraft,GammaGraft,"Promethean Lifesciences, Inc.",1 SQ CM,2.25,1,2.25,3.0,False,
000000GG225,Q4111,Gammagraft,GammaGraft,"Promethean Lifesciences, Inc.",1 SQ CM,7.5,1,7.5,8.0,False,
000000GG400,Q4111,Gammagraft,GammaGraft,"Promethean Lifesciences, Inc.",1 SQ CM,18.0,1,18.0,18.0,False,
000000GG625,Q4111,Gammagraft,GammaGraft,"Promethean Lifesciences, Inc.",1 SQ CM,56.0,1,56.0,56.0,False,
000000MHD11,Q4345,Matrix hd allogrft per sq cm,Matrix HD,Royal Biologics,1 SQ CM,1.0,1,1.0,1.0,False,
000000MHD22,Q4345,Matrix hd allogrft per sq cm,Matrix HD,Royal Biologics,1 SQ CM,4.0,1,4.0,4.0,False,
000000MHD24,Q4345,Matrix hd allogrft per sq cm,Matrix HD,Royal Biologics,1 SQ CM,8.0,1,8.0,8.0,False,
000000MHD44,Q4345,Matrix hd allogrft per sq cm,Matrix HD,Royal Biologics,1 SQ CM,16.0,1,16.0,16.0,False,
000000MHD48,Q4345,Matrix hd allogrft per sq cm,Matrix HD,Royal Biologics,1 SQ CM,32.0,1,32.0,32.0,False,
000000PAC06,Q4201,Matrion 1 sq cm,Matrion,Lifenet Health,1 SQ CM,6.0,1,6.0,6.0,False,
000000PAC12,Q4201,Matrion 1 sq cm,Matrion,Lifenet Health,1 SQ CM,12.0,1,12.0,12.0,False,
000000PAC25,Q4201,Matrion 1 sq cm,Matrion,Lifenet Health,1 SQ CM,25.0,1,25.0,25.0,False,
000000PAC64,Q4201,Matrion 1 sq cm,Matrion,Lifenet Health,1 SQ CM,64.0,1,64.0,64.0,False,
000000TM356,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,21.0,1,21.0,21.0,False,
000000WF001,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,1.0,1,1.0,1.0,False,
000000WF004,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,4.0,1,4.0,4.0,False,
000000WF008,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,8.0,1,8.0,8.0,False,
000000WF016,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,16.0,1,16.0,16.0,False,
000000WF024,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,24.0,1,24.0,24.0,False,
000000WF032,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,32.0,1,32.0,32.0,False,
000000WF081,Q4217,Woundfix biowound plus xplus,WoundFix,"Human Regenerative Technologies, LLC",1 SQ CM,81.0,1,81.0,81.0,False,
000000WP004,Q4326,"Woundplus, per sq cm",WoundPlus,"Human Regenerative Technologies, LLC",1 SQ CM,4.0,1,4.0,4.0,False,
000000WP008,Q4326,"Woundplus, per sq cm",WoundPlus,"Human Regenerative Technologies, LLC",1 SQ CM,8.0,1,8.0,8.0,False,
000000WP016,Q4326,"Woundplus, per sq cm",WoundPlus,"Human Regenerative Technologies, LLC",1 SQ CM,16.0,1,16.0,16.0,False,
000000WP032,Q4326,"Woundplus, per sq cm",WoundPlus,"Human Regenerative Technologies, LLC",1 SQ CM,32.0,1,32.0,32.0,False,
00000101TSS,Q4121,Theraskin,TheraSkin,Lifenet Health,1 SQ CM,12.9,1,12.9,13.0,False,
00000102TSL,Q4121,Theraskin,TheraSkin,Lifenet Health,1 SQ CM,38.71,1,38.71,39.0,False,
00000370205,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,10.0,1,10.0,10.0,False,
00000370408,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000370505,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000371404,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,16.0,1,16.0,16.0,False,
00000371408,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000371505,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000372404,Q4128,Flexhd/allopatchhd/sq cm,Allopatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,16.0,1,16.0,16.0,False,
00000470102,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,2.0,2.0,False,
00000470204,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,8.0,8.0,False,
00000470205,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,10.0,1,10.0,10.0,False,
00000470307,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,21.0,21.0,False,
00000470407,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,28.0,28.0,False,
00000470408,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000470505,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000471016,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,160.0,160.0,False,
00000471102,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,2.0,2.0,False,
00000471112,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,12.0,1,12.0,12.0,False,
00000471122,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,144.0,144.0,False,
00000471202,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,400.0,400.0,False,
00000471204,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,8.0,8.0,False,
00000471205,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,10.0,1,10.0,10.0,False,
00000471208,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,160.0,160.0,False,
00000471216,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,192.0,192.0,False,
00000471224,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,288.0,288.0,False,
00000471225,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,500.0,500.0,False,
00000471230,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,600.0,1,600.0,600.0,False,
00000471307,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,21.0,21.0,False,
00000471407,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,28.0,28.0,False,
00000471408,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000471416,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,64.0,64.0,False,
00000471505,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000471608,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,48.0,48.0,False,
00000471612,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,72.0,72.0,False,
00000471616,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,96.0,96.0,False,
00000471620,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,320.0,320.0,False,
00000471812,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,96.0,96.0,False,
00000471816,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,128.0,128.0,False,
00000472016,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,160.0,160.0,False,
00000472224,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,288.0,288.0,False,
00000472225,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,500.0,500.0,False,
00000472230,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,600.0,1,600.0,600.0,False,
00000472407,Q4128,Flexhd/allopatchhd/sq cm,Flex Structural,Musculoskeletal Transplant Foundation,1 SQ CM,28.0,1,28.0,28.0,False,
00000472408,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000472505,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000472620,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,320.0,320.0,False,
00000472812,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,96.0,96.0,False,
00000473505,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000474404,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,1.0,1,16.0,16.0,False,
00000474408,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,32.0,1,32.0,32.0,False,
00000474505,Q4128,Flexhd/allopatchhd/sq cm,AlloPatch HD,Musculoskeletal Transplant Foundation,1 SQ CM,25.0,1,25.0,25.0,False,
00000479204,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,8.0,1,8.0,8.0,False,
00000479407,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,28.0,1,28.0,28.0,False,
000004D1331,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,660.0,1,660.0,660.0,False,
000004D1335,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,840.0,1,840.0,840.0,False,
000004D2335,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,840.0,1,840.0,840.0,False,
000004d2331,Q4128,Flexhd/allopatchhd/sq cm,FlexHD,Musculoskeletal Transplant Foundation,1 SQ CM,660.0,1,660.0,660.0,False,
00000500425,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,3.0,1,3.0,3.0,False,
00000500426,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,6.0,1,6.0,6.0,False,
00000500427,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,12.0,1,12.0,12.0,False,
00000500474,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,4.0,1,4.0,4.0,False,
00000500475,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,8.0,1,8.0,8.0,False,
00000500477,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,1.1,1,1.1,2.0,False,
00000500478,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,1.5,1,1.5,2.0,False,
00000500479,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,2.0,1,2.0,2.0,False,
00000500480,Q4203,"Derma-gide, 1 sq cm",Geistlich Derma-Gide,Geistlich Pharma,1 SQ CM,2.5,1,2.5,3.0,False,
00000585001,Q4282,Cygnus dual per sq cm,Cygnus Dual ,"Organogenesis, Inc.",1 SQ CM,6.0,1,6.0,6.0,False,
00000585002,Q4282,Cygnus dual per sq cm,Cygnus Dual ,"Organogenesis, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
00000585003,Q4282,Cygnus dual per sq cm,Cygnus Dual ,"Organogenesis, Inc.",1 SQ CM,24.0,1,24.0,24.0,False,
00000585004,Q4282,Cygnus dual per sq cm,Cygnus Dual ,"Organogenesis, Inc.",1 SQ CM,105.0,1,105.0,105.0,False,
00000585005,Q4309,"Via matrix, per sq cm",VIA Matrix  ,"Organogenesis, Inc.",1 SQ CM,6.0,1,6.0,6.0,False,
00000585006,Q4309,"Via matrix, per sq cm",VIA Matrix  ,"Organogenesis, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
00000585007,Q4309,"Via matrix, per sq cm",VIA Matrix  ,"Organogenesis, Inc.",1 SQ CM,24.0,1,24.0,24.0,False,
00000585008,Q4309,"Via matrix, per sq cm",VIA Matrix,"Organogenesis, Inc.",1 SQ CM,110.0,1,110.0,110.0,False,
00000585009,Q4199,"Cygnus matrix, per sq cm",Cygnus Matrix,"Organogenesis, Inc.",1 SQ CM,6.0,1,6.0,6.0,False,
00000585010,Q4199,"Cygnus matrix, per sq cm",Cygnus Matrix,"Organogenesis, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
00000585011,Q4199,"Cygnus matrix, per sq cm",Cygnus Matrix,"Organogenesis, Inc.",1 SQ CM,24.0,1,24.0,24.0,False,
00000585013,Q4199,"Cygnus matrix, per sq cm",CYGNUS Matrix,"Organogenesis, Inc.",1 SQ CM,42.0,1,42.0,42.0,False,
00000586001,Q4340,"Simpligraft, per sq cm",SimpliGraft,"Organogenesis, Inc.",1 SQ CM,6.0,1,6.0,6.0,False,
00000586002,Q4340,"Simpligraft, per sq cm",SimpliGraft,"Organogenesis, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
00000586003,Q4340,"Simpligraft, per sq cm",SimpliGraft,"Organogenesis, Inc.",1 SQ CM,32.0,1,32.0,32.0,False,
00000ABXM22,Q4355,Abio xpl abio xpl hy p sq cm,Abiomend Xplus,Royal Biologics,1 SQ CM,4.0,1,4.0,4.0,False,
00000ABXM23,Q4355,Abio xpl abio xpl hy p sq cm,Abiomend Xplus,Royal Biologics,1 SQ CM,6.0,1,6.0,6.0,False,
00000ABXM44,Q4355,Abio xpl abio xpl hy p sq cm,Abiomend Xplus,Royal Biologics,1 SQ CM,16.0,1,16.0,16.0,False,
00000ABXM48,Q4355,Abio xpl abio xpl hy p sq cm,Abiomend Xplus,Royal Biologics,1 SQ CM,32.0,1,32.0,32.0,False,
00000AP0022,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,4.0,1,4.0,4.0,False,
00000AP0023,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,6.0,1,6.0,6.0,False,
00000AP0033,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,9.0,1,9.0,9.0,False,
00000AP0044,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,16.0,1,16.0,16.0,False,
00000AP0046,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,24.0,1,24.0,24.0,False,
00000AP0048,Q4249,"Amniply, per sq cm",Amniply,International Tissue Inc.,1 SQ CM,32.0,1,32.0,32.0,False,
00000BNK033,Q4161,Bio-connekt per square cm,Orthonovis Connect,"MLM Biologics, Inc.",1 SQ CM,9.0,1,9.0,9.0,False,
00000BNK044,Q4161,Bio-connekt per square cm,Orthonovis Connect,"MLM Biologics, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
00000BNK055,Q4161,Bio-connekt per square cm,Orthonovis Connect,"MLM Biologics, Inc.",1 SQ CM,25.0,1,25.0,25.0,False,
00000CG1100,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,6.0,1,6.0,6.0,False,
00000CG1101,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,8.0,1,8.0,8.0,False,
00000CG1102,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,4.0,1,4.0,4.0,False,
00000CG1104,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,16.0,1,16.0,16.0,False,
00000CG1105,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,24.0,1,24.0,24.0,False,
00000CG1106,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,32.0,1,32.0,32.0,False,
00000CG1107,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,128.0,1,128.0,128.0,False,
00000CG1108,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,180.0,1,180.0,180.0,False,
00000CG1109,Q4250,Amnioamp-mp per sq cm,AmnioAMP-MP,Stratus Biosystems LLC,1 SQ CM,252.0,1,252.0,252.0,False,
00000CP0022,Q4359,"Choriply, per sq cm",Choriply,International Tissue Inc.,1 SQ CM,4.0,1,4.0,4.0,False,
00000CP0023,Q4359,"Choriply, per sq cm",Choriply,International Tissue Inc.,1 SQ CM,6.0,1,6.0,6.0,False,
00000CP0044,Q4359,"Choriply, per sq cm",Choriply,International Tissue Inc.,1 SQ CM,16.0,1,16.0,16.0,False,
00000CP0046,Q4359,"Choriply, per sq cm",Choriply,International Tissue Inc.,1 SQ CM,24.0,1,24.0,24.0,False,
00000CP0048,Q4359,"Choriply, per sq cm",Choriply,International Tissue Inc.,1 SQ CM,32.0,1,32.0,32.0,False,
00000DV2301,Q4153,"Dermavest, plurivest sq cm",Dermavest,"Aedicell, Inc.",1 SQ CM,6.0,1,6.0,6.0,False,
00000DV3401,Q4153,"Dermavest, plurivest sq cm",Dermavest,"Aedicell, Inc.",1 SQ CM,12.0,1,12.0,12.0,False,
00000DV4601,Q4153,"Dermavest, plurivest sq cm",Dermavest,"Aedicell, Inc.",1 SQ CM,24.0,1,24.0,24.0,False,
00000FBP204,Q4178,"Floweramniopatch, per sq cm",Flowerpatch,Flower Ortho,1 SQ CM,8.0,1,8.0,8.0,False,
00000FBP404,Q4178,"Floweramniopatch, per sq cm",Flowerpatch,Flower Ortho,1 SQ CM,16.0,1,16.0,16.0,False,
00000FBP406,Q4178,"Floweramniopatch, per sq cm",Flowerpatch,Flower Ortho,1 SQ CM,24.0,1,24.0,24.0,False,
00000FBP408,Q4178,"Floweramniopatch, per sq cm",Flowerpatch,Flower Ortho,1 SQ CM,32.0,1,32.0,32.0,False,
00000FN0816,Q4128,Flexhd/allopatchhd/sq cm,FlexHD Pliable ,Musculoskeletal Transplant Foundation,1 SQ CM,128.0,1,128.0,128.0,False,
00000HP1102,Q4128,Flexhd/allopatchhd/sq cm,FlexHD Pliable,Musculoskeletal Transplant Foundation,1 SQ CM,2.0,1,2.0,2.0,False,
